City ID,City,Country,Date/Time,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (MPH)
463355,Zheleznodorozhnyy,RU,1595260612,55.75,38.0,80.01,56,40,6.71
2027296,Aykhal,RU,1595260207,66.0,111.5,55.4,87,90,8.95
338554,Dubti,ET,1595260613,11.74,41.09,96.85,29,99,20.51
6113406,Prince Rupert,CA,1595260232,54.32,-130.32,57.2,93,97,3.36
3838859,Río Gallegos,AR,1595259946,-51.62,-69.22,26.6,92,20,2.24
2121385,Severo-Kuril'sk,RU,1595260181,50.68,156.12,48.56,88,27,6.08
5354943,Half Moon Bay,US,1595260497,37.46,-122.43,64.99,93,90,3.4
379252,Khartoum,SD,1595260517,15.55,32.53,96.8,28,40,10.29
1277535,Balod,IN,1595260614,20.73,81.2,82.69,76,100,7.63
5924351,Clyde River,CA,1595260195,70.47,-68.59,44.6,93,90,9.17
2126710,Beringovskiy,RU,1595260614,63.05,179.32,43.83,86,0,9.4
519473,Novaya Tavolzhanka,RU,1595260614,50.35,36.83,78.8,39,7,2.24
3470137,Belmonte,BR,1595260614,-15.86,-38.88,77.0,73,75,5.82
1128239,Rūdbār,AF,1595260614,30.15,62.6,95.27,10,0,8.14
2074865,Carnarvon,AU,1595260198,-24.87,113.63,55.4,82,0,6.93
1633419,Padang,ID,1595260615,-0.95,100.35,78.93,80,49,4.81
3861953,Chacabuco,AR,1595260615,-34.64,-60.47,63.0,79,97,4.81
1326105,Falam,MM,1595260615,22.92,93.68,62.87,100,100,3.58
3838583,Rosario,AR,1595260547,-32.95,-60.64,66.99,87,90,9.17
5476913,Los Lunas,US,1595260615,34.81,-106.73,82.0,38,1,5.82
1631637,Pemangkat,ID,1595260616,1.17,108.97,77.27,88,100,4.99
5180119,Berwick,US,1595260616,41.05,-76.23,87.01,55,87,5.99
3702577,Portobelo,PA,1595260616,9.55,-79.65,88.0,74,100,3.0
2063036,Port Lincoln,AU,1595260255,-34.73,135.87,53.04,64,46,5.28
4033375,Tevaitoa,PF,1595260616,-16.78,-151.5,77.47,83,53,25.03
5887916,Athabasca,CA,1595260616,54.72,-113.29,63.91,77,6,7.45
1254832,Tawang Town,IN,1595260617,27.58,91.87,57.45,78,100,1.07
3902377,La Santisima Trinidad,BO,1595260617,-14.83,-64.9,86.0,66,14,6.93
4223379,Smyrna,US,1595260617,33.88,-84.51,93.0,58,40,3.36
4034188,Moerai,PF,1595260216,-22.43,-151.33,70.45,73,79,21.77
1563281,Tuy Hoa,VN,1595260617,13.08,109.3,78.87,84,92,3.2
1523662,Kachīry,KZ,1595260617,53.07,76.1,69.01,77,79,8.99
4568570,Vieques,PR,1595260618,18.43,-65.83,87.8,66,40,19.46
1809061,Jiaojiang,CN,1595260618,28.68,121.44,82.99,97,100,5.46
3688451,Buenaventura,CO,1595260618,3.88,-77.03,81.88,82,100,6.91
2227853,Mbengwi,CM,1595260618,6.02,10.0,66.16,92,100,2.53
1649150,Bengkulu,ID,1595260222,-3.8,102.27,78.69,87,100,7.29
545467,Konëvo,RU,1595260619,62.12,39.32,72.36,55,60,4.25
2123814,Leningradskiy,RU,1595260189,69.38,178.42,39.16,84,14,7.2
4151316,Clearwater,US,1595260386,27.97,-82.8,90.0,66,1,5.82
5919850,Chapais,CA,1595260619,49.78,-74.85,55.4,82,90,19.46
3995017,Navolato,MX,1595260392,24.77,-107.69,89.01,62,40,7.18
1249931,Beruwala,LK,1595260619,6.48,79.98,79.81,84,100,8.43
3361934,Saldanha,ZA,1595260227,-33.01,17.94,69.8,52,0,5.82
104515,Makkah al Mukarramah,SA,1595260620,21.43,39.83,90.5,38,43,6.15
2035836,Manzhouli,CN,1595260620,49.6,117.43,54.09,64,13,11.21
1808857,Hanzhong,CN,1595260620,33.07,107.03,73.36,72,100,0.43
4580098,Goose Creek,US,1595260407,32.98,-80.03,91.0,66,40,6.93
3520064,Salina Cruz,MX,1595260620,16.17,-95.2,88.43,53,75,6.13
2643044,Margate,GB,1595260251,51.38,1.39,72.0,48,70,1.99
2208248,Kaitangata,NZ,1595260189,-46.28,169.85,48.99,70,100,3.51
2347758,Bara,NG,1595260621,10.37,10.73,78.35,77,87,11.68
1695546,Pandan,PH,1595260621,14.05,124.17,82.02,82,3,5.14
3359638,Walvis Bay,NA,1595260621,-22.96,14.51,93.2,7,0,4.7
933995,Souillac,MU,1595260018,-20.52,57.52,69.8,56,75,11.41
1255143,Tālcher,IN,1595260621,20.95,85.22,84.0,76,100,5.55
3163146,Andenes,NO,1595260622,69.31,16.12,55.4,87,75,5.82
3059870,Hriňová,SK,1595260622,48.58,19.53,77.0,69,40,8.05
2271968,Aljezur,PT,1595260622,37.32,-8.8,84.99,67,86,9.51
5881688,Fort Saint James,CA,1595260622,54.43,-124.25,66.78,57,10,1.01
1626936,Singaparna,ID,1595260623,-7.35,108.11,72.16,91,81,1.99
5866583,Saint Paul Harbor,US,1595260128,57.79,-152.41,59.0,72,1,11.41
3698359,Chicama,PE,1595260623,-7.84,-79.15,69.48,63,66,8.14
2514651,Los Llanos de Aridane,ES,1595259990,28.66,-17.92,78.8,65,20,17.22
2176639,Batemans Bay,AU,1595260243,-35.72,150.18,30.0,90,0,6.26
4231997,Avera,US,1595260624,33.19,-82.53,91.99,55,1,3.24
3122157,Fraga,ES,1595260624,41.52,0.35,91.99,35,12,11.41
1278987,Allāpalli,IN,1595260624,19.42,80.07,80.2,88,100,3.76
1797595,Qinhuangdao,CN,1595260624,39.93,119.59,73.53,70,0,3.27
2630299,Hofn,IS,1595260624,64.25,-15.21,55.4,58,75,10.29
6078447,Morden,CA,1595260364,49.19,-98.1,71.6,60,1,5.82
3910343,Mineros,BO,1595260624,-17.12,-63.23,84.2,66,40,23.04
313199,Güzelyurt,TR,1595260625,38.28,34.37,98.6,18,0,10.29
2303611,Esim,GH,1595260182,4.87,-2.24,79.14,78,98,10.51
5853992,Wahiawā,US,1595260625,21.5,-158.02,80.01,78,90,4.7
3190941,Šibenik,HR,1595260444,43.73,15.91,82.4,45,20,17.22
2150163,Sawtell,AU,1595260625,-30.38,153.1,45.0,86,1,1.12
3696509,Huamachuco,PE,1595260625,-7.8,-78.07,57.29,42,0,6.49
2438774,Tibiri,NE,1595260626,13.56,7.05,91.4,52,20,6.93
3440777,Rocha,UY,1595260193,-34.48,-54.33,74.77,70,100,9.53
3519274,San Francisco del Mar Viejo,MX,1595260626,16.23,-94.65,86.76,65,67,12.06
2548885,Fes,MA,1595260626,34.04,-5.0,107.6,13,40,11.41
2636790,Stornoway,GB,1595260207,58.21,-6.39,60.01,71,20,12.75
286245,Sur,OM,1595260224,22.57,59.53,89.42,63,80,14.14
487928,Novikovo,RU,1595260627,51.15,37.89,71.55,66,51,6.31
1529376,Korla,CN,1595260397,41.76,86.15,71.19,51,22,7.11
3899539,Antofagasta,CL,1595260203,-23.65,-70.4,57.2,71,75,10.29
158563,Kakonko,TZ,1595260627,-3.28,30.96,76.01,37,22,3.65
2638534,Sandwick,GB,1595260227,60.0,-1.25,57.2,71,20,10.29
6145890,Shelburne,CA,1595260214,44.08,-80.2,78.8,54,40,13.87
777019,Vardø,NO,1595260234,70.37,31.11,64.4,77,78,11.41
2618795,Klaksvík,FO,1595260193,62.23,-6.59,51.8,87,75,10.29
5883166,Alberton,CA,1595260627,46.82,-64.07,76.39,72,31,15.77
2027042,Batagay-Alyta,RU,1595260230,67.8,130.41,56.39,89,8,1.7
783754,Albania,AL,1595260628,41.0,20.0,80.6,39,0,10.29
3388847,São Félix do Xingu,BR,1595260628,-6.64,-51.99,92.73,27,0,5.64
1515029,Ulaangom,MN,1595260628,49.98,92.07,68.9,63,67,1.54
5911745,Burns Lake,CA,1595260485,54.23,-125.75,63.21,63,38,2.73
3833062,Venado Tuerto,AR,1595260629,-33.75,-61.97,57.99,87,100,6.62
3984997,San Quintín,MX,1595260237,30.48,-115.95,74.7,58,0,17.92
587207,Artyom,AZ,1595260629,40.47,50.33,87.8,55,0,11.41
2440485,Niamey,NE,1595260413,13.51,2.11,93.2,38,20,5.82
3625710,Upata,VE,1595260630,8.01,-62.4,84.29,68,65,5.21
